No,Area,Cabang,Kode,Nama Toko,Jenis Toko,Alamat,Hotel VASA (Ya/Tidak),Hotel IBIS Budget (Ya/Tidak),cadangan ke … (hanya untuk toko cadangan),Kadiv Mitra 10,Jumlah orang,Nama Undangan,Meja VIP,Keterangan
84,5,JOMBANG,16L01030004,BUDI JAYA,TRO,RAYA BANDUNG,Tidak,Tidak,CADANGAN,,2,TANANG,,
85,5,JOMBANG,16L01040017,KREMBANGAN BANGUNAN,TRO,RY GUDO KREMBANGAN,Tidak,Tidak,CADANGAN,,2,BAMBANG,,
86,5,JOMBANG,16L01060013,GARUDA MAS 2,TRO,SAMBONG (KH. WAHAB CHASBULLAH 36),Tidak,Tidak,CADANGAN,,2,STALIN LIE,,
87,5,JOMBANG,16L01120009,SETIA UTAMA,TRO,CATAK GAYAM,Tidak,Tidak,CADANGAN,,2,SUCI,,
88,5,JOMBANG,16L01120020,PUTRA ELSA,TRO,DSN BRAJANG,Tidak,Tidak,CADANGAN,,2,IFA HALIM,,
89,5,JOMBANG,16L01160007,"SINAR ALAM, UD ",TRO,RAYA PETERONGAN 74/203,Tidak,Tidak,CADANGAN,,2,YULI,,
90,5,JOMBANG,16L02030013,SUMBER MANDIRI,TRO,DUSUN PUDAKSARI-PULONITI,Tidak,Tidak,CADANGAN,,2,ANIS,,
91,5,JOMBANG,16L02070002,SAHABAT II,TRO,RAYA PASAR POHJEJER (DEPAN PEMAKAMAN KARANG LO),Tidak,Tidak,CADANGAN,,2,AKRIS,,
92,5,JOMBANG,16L02110008,MRH,TRO,KALICANGKRING,Tidak,Tidak,CADANGAN,,2,SYAIFUL,,
93,5,JOMBANG,16L02120005,MARET MAKMUR,TRO,"RAYA SADAR, DS SADAR TENGAH",Tidak,Tidak,CADANGAN,,2,KUSNANDAR,,
94,5,JOMBANG,16L02130012,DUA PUTRI,TRO,S PARMAN MODOPURO MOJOSARI,Tidak,Tidak,CADANGAN,,2,FADIL,,
95,5,JOMBANG,16L02130024,MINI LANCAR,TRO,S. PARMAN,Tidak,Tidak,CADANGAN,,2,IMAM,,
96,5,JOMBANG,16L02140013,POJOK JAYA,TRO,RAYA GLATIK (PAK CARIK LAMA),Tidak,Tidak,CADANGAN,,2,ALFA,,
97,5,JOMBANG,16L02170001,BERKAT USAHA,TRO,RAYA SAMBIROTO,Tidak,Tidak,CADANGAN,,2,ELI,,
98,5,JOMBANG,16L02180007,ILHAM RIZKY,TRO,RA. BASUNI (WISMA SOOKO INDAH),Tidak,Tidak,CADANGAN,,2,ENI ,,
99,5,JOMBANG,16L02180010,"MAJU MAPAN, UD (LISA SARI DEWI)",TRO,RA BASOENI 150 A,Tidak,Tidak,CADANGAN,,2,BUDI,,
100,5,JOMBANG,16L02180019,"SINAR ALAM, UD ",TRO,RA. BASUNI 30-32,Tidak,Tidak,CADANGAN,,2,WIDIA,,
101,5,JOMBANG,16L03070001,AGUNG,TRO,DEPAN PASAR LENGKONG,Tidak,Tidak,CADANGAN,,2,NUNUK,,
102,5,JOMBANG,16L03170002,LANGGENG II,TRO,SEDUDO MARGO PATUT SAWAHAN,Tidak,Tidak,CADANGAN,,2,FITRI,,
